Month,Quantity,LineTotal
2023-09,140.0,74000.42
2023-10,413.0,211736.95
2023-11,781.0,456594.85000000003
2023-12,862.0,636794.3099999999
2024-01,522.0,632292.23
2024-02,633.0,753892.83
2024-03,441.0,553123.48
2024-04,353.0,419758.89
2024-05,376.0,433436.47000000003
2024-06,259.0,319388.96
2024-07,218.0,282963.79000000004
2024-08,133.0,195607.33000000002
2024-09,318.0,453491.41
2024-10,232.0,317703.45
