Month,Quantity,LineTotal
2023-10,289.0,922702.28
2023-11,419.0,1923241.5
2023-12,151.0,1004411.13
2024-01,2001.0,32267414.71
2024-02,28.0,202761.36
2024-05,2.0,23863.370000000003
2024-06,13.0,123580.62
2024-07,1.0,24062.42
2024-08,16.0,313368.45
2024-09,4.0,51116.4
2024-10,28.0,830933.69
