Month,Quantity,LineTotal
2023-09,1.0,609.67
2023-10,1.0,699.35
2023-11,3.0,2098.04
2023-12,1.0,815.88
2024-01,1.0,1416.6
2024-02,2.0,2833.2
2024-03,1.0,1192.43
2024-05,1.0,1379.83
2024-06,1.0,1763.13
2024-09,3.0,4607.51
